regional stations: orinoquia,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
A.E.CORTISSOZ AUTOM   ,14,-74.779722222222,10.917777777778,0,0,0,0,1.458,0,1.728,0.46
MONGUI AUTOMATICA ,60,-72.820638888889,11.226777777778,1.534,0,0,0,0,0,1.347,0.41
EL GUAMO AUTOM  ,75,-74.852222222222,10.064444444444,0,0,0,0,0,0,1.863,0.27
REPELON AUTOM   ,10,-75.126944444444,10.49,0,0,0,0,0.942,0,0.798,0.25
SINCERIN ,10,-75.278277777778,10.142583333333,0,0,0,0,0,0,1.552,0.22
EL DIFICIL AUTOM ,120,-74.085805555556,9.911972222222,0,0,0,0,0,0,1.464,0.21
LOS ALAMOS AUTOM ,25,-74.273638888889,9.304055555556,0,0,0,0,0,0,1.353,0.19
MEDIA LUNA AUTOM ,20,-74.506666666667,10.510027777778,0,0,0,0,0,0,1.241,0.18
SABANALARGA AUTOMATICA ,100,-74.918888888889,10.636722222222,0,0,0,0,0,0,1.24,0.18
APTO ALFONSO LOPEZ - AUTOM ,138,-73.247666666667,10.436166666667,0,0,0,0,0.558,0,0.514,0.15
MINA LA CERREJON - AUTOM ,80,-72.615944444444,11.137583333333,0.305,0,0,0,0.109,0,0.301,0.1
APTO RAFAEL BARVO ,166,-75.283055555556,9.333888888889,0.001,0.011,0.011,0,0,0.011,0.002,0.01
regional stations: amazonia,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
PTO NARIÑO AUTOM  ,158,-70.362638888889,-3.780305555556,0,0,0,0,15.264,2.852,0.185,2.61
PTO INIRIDA AUTOMATICA ,100,-67.931694444444,3.867666666667,0,0,0,0,2.544,0,1.999,0.65
SAN VICENTE DEL CAGUAN AUTOMATICA ,300,-74.762694444444,2.063,0,0,0,0,2.996,0,0.436,0.49
SAN JOSE DEL GUAVIARE AUTOMATICA ,165,-72.647083333333,2.553027777778,0,0,0,0,1.861,0,1.165,0.43
PNN LA PAYA AUTOMATICA ,194,-74.898138888889,0.173722222222,0,0,0,0,0.325,0.492,0,0.12
BOLIVIA LA ,250,-72.633333333333,2.566666666667,0.007,0.111,0,0,0,0.111,0.019,0.04
APTO PUERTO ASIS ,254,-76.5,0.5,0.002,0.035,0.031,0,0,0.036,0.006,0.02
SAN JOSE GUAVIARE ,172,-72.637916666667,2.573444444444,0.001,0.008,0.017,0,0,0.013,0.003,0.01
SAN IGNACIO   ,670,-74.772111111111,2.112166666667,0.001,0.006,0.019,0,0,0.006,0.005,0.01
MITU  ,180,-70.239111111111,1.259555555556,0.001,0.01,0.01,0,0,0.011,0.001,0
regional stations: outside,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
APTO RAFAEL NUNEZ ,2,-75.516027777778,10.44725,2.582,11.23,8.527,1.427,0,11.236,2.909,5.42
A VASQUEZ COBO ,84,-69.940916666667,-4.193861111111,1.663,10.281,8.063,1.228,0.83,10.288,2.705,5.01
UNIV TECNOLOGICA DEL MAGDALENA AUTOMATICA ,0,0,0,4.699,1.733,0,9.39,5.058,1.75,4.721,3.91
APTO SIMON BOLIVAR ,4,-74.228888888889,11.128333333333,0.658,5.707,5.748,0.108,0,5.711,0.965,2.7
LETICIA ,120,-69.942722222222,-4.222527777778,0.844,5.255,5.191,0,0,5.257,0.954,2.5
En Barranquilla ,8,-74.820833333333,11.04,1.39,1.373,0,1.501,1.677,1.472,0,1.06
GORGONA GUAPI   ,10,-78.174361111111,2.962944444444,0,0,0,0,2.96,3.031,0.265,0.89
APTO SESQUICENTEN   ,1,-81.730969444444,12.542183333333,1.194,1.265,0,1.196,0,1.265,1.194,0.87
APTO PALONEGRO AUTOM ,0,0,0,0,0,0,0,0.96,0,0.811,0.25
SERRANILLA AUTOMATICA ,3,-79.852222222222,15.7975,0.072,0,0,0,0.203,0,0.063,0.05
BAHIA SOLANO AUTOMATICA ,21,-77.433166666667,6.268638888889,0,0,0,0,0.258,0,0,0.04
PTO BOLIVAR AUTOMATICA ,0,-71.967666666667,12.224277777778,0.059,0,0,0,0.064,0,0.059,0.03
